Ministry,Division,Organization,Procuring_Entity_Name,Procuring_Entity_Code,Procuring_Entity_District,Procurement_Nature,Procurement_Type,Event_Type,Invitation_for,Invitation_Reference_No,Tender_Proposal_Status,App_ID,Tender_Proposal_ID,Procurement_Method,Budget_Type,Source_of_Funds,Project_Code,Project_Name,Tender_Proposal_Package_No_and_Description,Category,Scheduled_Tender_Proposal_Publication_Date_and_Time,Tender_Proposal_Document_last_selling_downloading_Date_and_Time,Pre_Tender_Proposal_meeting_Start_Date_and_Time,Pre_Tender_Proposal_meeting_End_Date_and_Time,Tender_Proposal_Closing_Date_and_Time,Tender_Proposal_Opening_Date_and_Time,Last_Date_and_Time_for_Tender_Proposal_Security_Submission,Eligibility_of_Tenderer,Brief_Description_of_Works,Evaluation_Type,Document_Available,Document_Fees,Tender_Proposal_Document_Price_In_BDT,Mode_of_Payment,Tender_Proposal_Security_Valid_Up_to,Tender_Proposal_Valid_Up_to,Name_of_Official_Inviting_Tender_Proposal,Designation_of_Official_Inviting_Tender_Proposal,Address,City,Thana,District,Country,Phone_No,Fax_No,url
"Ministry of Local Government, Rural Development and Co-operatives",Local Government Division,Local Government Engineering Department (LGED),"Office of the Upazila Engineer, LGED, Austagram, Kishoreganj",,Kishoreganj,Works,NCT,TENDER,Tender - Single Lot,"APP ID:185269, e-Tender/PEDP4/KIS/AUS/2021-22/W17-",Live,185269,714600,Open Tendering Method (OTM),Development,"Government, Aid or Grant",2242237900,Fourth Primary Education Development Program,"e-Tender/PEDP4/KIS/AUS/2021-22/W17-01125 a. Major maintenance of Aftab Uddin GPS under Austagram Upazila, kishoreganj b. Major Maintenance of Hallapur GPS under Austagram Upazila, kishoreganj","Construction work; Site preparation work; Works for complete or part construction and civil engineering work; Building installation work; Building completion work; Hire of construction and civil engineering machinery and equipment with operator;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of cranes with operator;Hire of earthmoving equipment with operator",28-Jun-2022 10:00,18-Jul-2022 16:00,28-Jun-2022 12:00,18-Jul-2022 17:00,19-Jul-2022 14:00,19-Jul-2022 14:00,19-Jul-2022 13:00,AS per TDS,a. Major maintenance of Aftab Uddin GPS b. Major Maintenance of Hallapur GPS,Lot wise,Package wise,Package wise,1000,Payment through Bank,12-Nov-2022,15-Oct-2022,Md. Golam Samdani,Upazila Engineer,"Austagram Upazila Parishad, Austagram",Austagram,Austagram,Kishoreganj - 2380,Bangladesh,09422-56015,,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
"Ministry of Local Government, Rural Development and Co-operatives",Local Government Division,Local Government Engineering Department (LGED),"Office of the Upazila Engineer, LGED, Austagram, Kishoreganj",,Kishoreganj,Works,NCT,TENDER,Tender - Single Lot,"APP ID:185269, e-Tender/PEDP4/KIS/AUS/2021-22/W17-",Live,185269,714601,Open Tendering Method (OTM),Development,"Government, Aid or Grant",2242237900,Fourth Primary Education Development Program,"e-Tender/PEDP4/KIS/AUS/2021-22/W17-01124 a. Major maintenance of Noa Gao GPS b. Major Maintenance of Pukur Par GPS c Major Maintenance of Purba Kastul GPS under Austagram, Kishoreganj","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",28-Jun-2022 10:00,18-Jul-2022 16:00,28-Jun-2022 12:00,18-Jul-2022 17:00,19-Jul-2022 14:00,19-Jul-2022 14:00,19-Jul-2022 13:00,As per TDS,a. Major maintenance of Noa Gao GPS b. Major Maintenance of Pukur Par GPS c Major Maintenance of Purba Kastul GPS,Lot wise,Package wise,Package wise,1000,Payment through Bank,12-Nov-2022,15-Oct-2022,Md. Golam Samdani,Upazila Engineer,"Austagram Upazila Parishad, Austagram",Austagram,Austagram,Kishoreganj - 2380,Bangladesh,09422-56015,,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
Ministry of Education,Secondary and Higher Education Division,Education Engineering Department,"Office of the Executive Engineer, EED, Barisal, District.",36,Barishal,Works,NCT,TENDER,Tender - Single Lot,37.07.0000.001.002.20.SE/80 Dt: 22/02/2021,Live,181748,682655,Open Tendering Method (OTM),Revenue,Government,1600101-120001603-3258108,Repair/Renovation of Govt. Technical Education Institution.(TMED),"Govt. TMED-02 1. Repair with Electrification Works of Workshop Building 2.Plaster And Paint Works of Workshop Building 3. Renovation works In/C Installation of Grill Works of Workshop Building at Barisal Technical School and College, Sadar, Barisal.","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",28-Jun-2022 10:00,20-Jul-2022 15:00,28-Jun-2022 12:00,14-Jul-2022 14:45,21-Jul-2022 12:00,21-Jul-2022 12:00,20-Jul-2022 16:00,"As per ITT & TDS and Only Enlisted Tenderers of the categories: Enlisted Contractor of A-1/A-2 Category under Barishal Circle. Liquid Asset: "" Letter of Commitment for Bank s Undertaking for Line of Credit (Form PW2b-3)"" This Form should be use for Liquid Asset and Issuing Date must be before the submission of tender.","Govt. TMED-02: 1.Repair with Electrification Works of Workshop Building 2.Plaster And Paint Works of Workshop Building 3. Renovation works In/C Installation of Grill Works of Workshop Building at Barisal Technical School and College, Sadar, Barisal.",Lot wise,Package wise,Package wise,2000,Payment through Bank,16-Dec-2022,18-Nov-2022,Md. Jahangir Alam,Executive Engineer,"Office of the Executive Engineer, Education Engineering Department, Vatar Khal, Barisal.",Barisal,Sadar,Barishal - 8200,Bangladesh,0431-2175311,0431-2175311,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
Ministry of Housing and Public Works,,Public Works Department (PWD),Sunamganj PWD Division,,Sunamganj,Goods,NCT,TENDER,Tender - Single Lot,ace/syl-25.36.9100.008.14.098.22-691(2).dt20/06/22,Live,181535,714868,Open Tendering Method (OTM),Development,Government,BMC,"Establishment of Bangabandhu Medical College & Hospital, Sunamganj.","PWD/SUN/MCH/GOB/GD-2/2021-22 Establishment of Bangabandhu Medical College & Hospital, Sunamganj (Sub-head: Supply & Installation of Air conditioning System.)","Insulated wire and cable; Electrical machinery, apparatus, equipment and consumables;Mains;Power distribution cables;Coaxial cable;Insulated cable accessories;Electric conductors for data and control purposes",28-Jun-2022 10:00,27-Jul-2022 11:00,28-Jun-2022 12:42,07-Jul-2022 12:42,27-Jul-2022 12:00,27-Jul-2022 12:00,27-Jul-2022 11:30,"This invitation for Tender is open to all eligible Tenderers as mentioned below: 1. The minimum years of general experience of the Tenderer in the supply of Electro-mechanical works as Supplier shall be 5 (Five) years. 2. Specific experience of successful completion in Supplying & Installation of Air conditioning system of minimum value of Tk. 10.00 (Ten) Crore in single contract in last 05 (Five) years in which Ducted type & VRF system AC work shall be included not less than TK 6.0(six) Crore. 3. The tenderer must have a minimum liquid assets i.e. working capital/ Credit facilities (Must be unconditional and provided in form of letter of commitment of Banks undertaking for line of credit (Form PG3-8) in Original form) of Tk.10.50 (Ten point five zero) Crore. PG3-8 form is attached in Section-6. 4. Manufacturer's Authorization letter (e-PG3-6) must be submitted. 5. The intending tenderers must Enclosed VAT Registration certificate, Income Tax certificate, Up-to-date Trade License and Up-to date ABC/BC Electric license and Supervisory License issued from Electric Licensing Board, Government of Bangladesh. All other conditions as mentioned in e-TDS, PCC& Section-6 of e-tender document must be fulfilled. * Years counting backward from the date of publication of IFT in e-GP System.","Establishment of Bangabandhu Medical College & Hospital, Sunamganj (Sub-head: Supply & Installation of Air conditioning System.)",Lot wise,Package wise,Package wise,4000,Payment through Bank,22-Dec-2022,24-Nov-2022,Md Mominul Haque,Executive Engineer,"Sunamganj PWD Division ,Sunamganj",Sunamganj,Sunamganj,Sunamganj - 3000,Bangladesh,0871-61431,,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
"Ministry of Local Government, Rural Development and Co-operatives",Local Government Division,"Zilla Parishad, Barguna","Zilla Parishad, Barguna",,Barguna,Works,NCT,TENDER,Tender - Single Lot,"Memo no- 46.00.0400.042.14.052.17.2182, Date- 17.",Live,179664,706145,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,BZP/2021-2022/W-21 Construction of guide-wall in the pond of Sports Association of Barguna district.,"Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",28-Jun-2022 09:30,19-Jul-2022 16:00,28-Jun-2022 10:30,14-Jul-2022 16:00,20-Jul-2022 12:00,20-Jul-2022 12:00,20-Jul-2022 11:00,"All the qualified tenderers who fulfill the criteria stated in the e-TDS N.B: Please read the instructions carefully before submitting your tender. 1. Go through e-TDS and follow the instructions 2. Fill up the tenderer information forms first and then upload the documents 3. Lodgment of large electronic file may take time and as such sufficient time must be allowed to fully transmit all the files prior to the closing time. If the lodged tender containing files those are corrupt or containing virus or are unreadable for any reason, will not be considered. In that case it will be considered that the files/documents have not been submitted.",Construction of guide-wall in the pond of Sports Association of Barguna district.,Lot wise,Package wise,Package wise,1000,Payment through Bank,17-Nov-2022,18-Oct-2022,Md. ZIAUL HAQUE,Assistant Engineer,"Shahid smrity sarak, Barguna.",Barguna,Barguna Sadar,Barguna - 8700,Bangladesh,0448-63488,0448-62595,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
"Ministry of Local Government, Rural Development and Co-operatives",Local Government Division,"Zilla Parishad, Barguna","Zilla Parishad, Barguna",,Barguna,Works,NCT,TENDER,Tender - Single Lot,"Memo no- 46.00.0400.042.14.052.17.2182, Date- 17.",Live,179664,706146,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"BZP/2021-2022/W-22 Construction of 4 Paved ghats at different places in Barguna Sadar Upazila of Barguna district (Project No. ADP-15, 19, 20 & 21 Financial Year 2021-2022),","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",28-Jun-2022 09:30,19-Jul-2022 16:00,28-Jun-2022 10:30,14-Jul-2022 16:00,20-Jul-2022 12:00,20-Jul-2022 12:00,20-Jul-2022 11:00,"All the qualified tenderers who fulfill the criteria stated in the e-TDS N.B: Please read the instructions carefully before submitting your tender. 1. Go through e-TDS and follow the instructions 2. Fill up the tenderer information forms first and then upload the documents 3. Lodgment of large electronic file may take time and as such sufficient time must be allowed to fully transmit all the files prior to the closing time. If the lodged tender containing files those are corrupt or containing virus or are unreadable for any reason, will not be considered. In that case it will be considered that the files/documents have not been submitted.","Construction of 4 Paved ghats at different places in Barguna Sadar Upazila of Barguna district (Project No. ADP-15, 19, 20 & 21 Financial Year 2021-2022),",Lot wise,Package wise,Package wise,1000,Payment through Bank,17-Nov-2022,18-Oct-2022,Md. ZIAUL HAQUE,Assistant Engineer,"Shahid smrity sarak, Barguna.",Barguna,Barguna Sadar,Barguna - 8700,Bangladesh,0448-63488,0448-62595,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
"Ministry of Local Government, Rural Development and Co-operatives",Local Government Division,"Zilla Parishad, Barguna","Zilla Parishad, Barguna",,Barguna,Works,NCT,TENDER,Tender - Single Lot,"Memo no- 46.00.0400.042.14.052.17.2182, Date- 17.1",Live,179664,706148,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"BZP/2021-2022/W-23 Development work of 5 temples at different designated places in different upazilas (Barguna sadar, Bamna, Taltoli & Pathorghata Upazilla) of Barguna district (Project No. ADP-96, 97, 100, 104 &110, Financial Year 2021-2022),","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",28-Jun-2022 09:30,19-Jul-2022 16:00,28-Jun-2022 10:30,14-Jul-2022 16:00,20-Jul-2022 12:00,20-Jul-2022 12:00,20-Jul-2022 11:00,"All the qualified tenderers who fulfill the criteria stated in the e-TDS N.B: Please read the instructions carefully before submitting your tender. 1. Go through e-TDS and follow the instructions 2. Fill up the tenderer information forms first and then upload the documents 3. Lodgment of large electronic file may take time and as such sufficient time must be allowed to fully transmit all the files prior to the closing time. If the lodged tender containing files those are corrupt or containing virus or are unreadable for any reason, will not be considered. In that case it will be considered that the files/documents have not been submitted.","Development work of 5 temples at different designated places in different upazilas (Barguna sadar, Bamna, Taltoli & Pathorghata Upazilla) of Barguna district (Project No. ADP-96, 97, 100, 104 &110, Financial Year 2021-2022),",Lot wise,Package wise,Package wise,1000,Payment through Bank,17-Nov-2022,18-Oct-2022,Md. ZIAUL HAQUE,Assistant Engineer,"Shahid smrity sarak, Barguna.",Barguna,Barguna Sadar,Barguna - 8700,Bangladesh,0448-63488,0448-62595,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
"Ministry of Local Government, Rural Development and Co-operatives",Local Government Division,"Zilla Parishad, Barguna","Zilla Parishad, Barguna",,Barguna,Works,NCT,TENDER,Tender - Single Lot,46.00.0400.042.14.052.17.2182 & 2462,Live,179664,706149,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"BZP/2021-2022/W-24 Construction of 3 Soling Road at different places in Bamna Upazila of Barguna district (Project No. ADP-56, 77 & 379, Financial Year 2021-2022),","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",28-Jun-2022 09:30,19-Jul-2022 16:00,28-Jun-2022 10:30,14-Jul-2022 16:00,20-Jul-2022 12:00,20-Jul-2022 12:00,20-Jul-2022 11:00,"All the qualified tenderers who fulfill the criteria stated in the e-TDS N.B: Please read the instructions carefully before submitting your tender. 1. Go through e-TDS and follow the instructions 2. Fill up the tenderer information forms first and then upload the documents 3. Lodgment of large electronic file may take time and as such sufficient time must be allowed to fully transmit all the files prior to the closing time. If the lodged tender containing files those are corrupt or containing virus or are unreadable for any reason, will not be considered. In that case it will be considered that the files/documents have not been submitted.","Construction of 3 Soling Road at different places in Bamna Upazila of Barguna district (Project No. ADP-56, 77 & 379, Financial Year 2021-2022),",Lot wise,Package wise,Package wise,1000,Payment through Bank,17-Nov-2022,18-Oct-2022,Md. ZIAUL HAQUE,Assistant Engineer,"Shahid smrity sarak, Barguna.",Barguna,Barguna Sadar,Barguna - 8700,Bangladesh,0448-63488,0448-62595,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
"Ministry of Local Government, Rural Development and Co-operatives",Local Government Division,"Zilla Parishad, Barguna","Zilla Parishad, Barguna",,Barguna,Works,NCT,TENDER,Tender - Single Lot,"Memo no- 446.00.0000.042.14.052.17(1).422, Date-",Live,179664,706150,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"BZP/2021-2022/W-25 Completion of unfinished work of Zila Parishad Jame Mosque development work in Charduani Bazar of Patharghata Upazila of Barguna district (Project No. ADP-399, Financial Year 2021-2022),","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",28-Jun-2022 09:30,19-Jul-2022 16:00,28-Jun-2022 10:30,14-Jul-2022 16:00,20-Jul-2022 12:00,20-Jul-2022 12:00,20-Jul-2022 11:00,"All the qualified tenderers who fulfill the criteria stated in the e-TDS N.B: Please read the instructions carefully before submitting your tender. 1. Go through e-TDS and follow the instructions 2. Fill up the tenderer information forms first and then upload the documents 3. Lodgment of large electronic file may take time and as such sufficient time must be allowed to fully transmit all the files prior to the closing time. If the lodged tender containing files those are corrupt or containing virus or are unreadable for any reason, will not be considered. In that case it will be considered that the files/documents have not been submitted.","Completion of unfinished work of Zila Parishad Jame Mosque development work in Charduani Bazar of Patharghata Upazila of Barguna district (Project No. ADP-399, Financial Year 2021-2022),",Lot wise,Package wise,Package wise,1000,Payment through Bank,17-Nov-2022,18-Oct-2022,Md. ZIAUL HAQUE,Assistant Engineer,"Shahid smrity sarak, Barguna.",Barguna,Barguna Sadar,Barguna - 8700,Bangladesh,0448-63488,0448-62595,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
"Ministry of Local Government, Rural Development and Co-operatives",Local Government Division,"Zilla Parishad, Barguna","Zilla Parishad, Barguna",,Barguna,Works,NCT,TENDER,Tender - Single Lot,"Memo no-46.00.4400.042.14.052.17(1)-1516, Date- 20",Live,179664,706160,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"BZP/2021-2022/W-20 Construction of 3 Paved ghats at different places in Barguna Sadar Upazila (Project No. ADP-250, 265 & 266 Financial Year 2020-2021), (b) Construction of Ozukhana of Adarshpara Baitul Jannat Jame Mosque on PTI Road in Barguna Sadar Upazila of Barguna district (Project No. ADP-274, Financial Year 2020-2021","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",28-Jun-2022 09:30,19-Jul-2022 16:00,28-Jun-2022 10:30,14-Jul-2022 16:00,20-Jul-2022 12:00,20-Jul-2022 12:00,20-Jul-2022 11:00,"All the qualified tenderers who fulfill the criteria stated in the e-TDS N.B: Please read the instructions carefully before submitting your tender. 1. Go through e-TDS and follow the instructions 2. Fill up the tenderer information forms first and then upload the documents 3. Lodgment of large electronic file may take time and as such sufficient time must be allowed to fully transmit all the files prior to the closing time. If the lodged tender containing files those are corrupt or containing virus or are unreadable for any reason, will not be considered. In that case it will be considered that the files/documents have not been submitted.","Construction of 3 Paved ghats at different places in Barguna Sadar Upazila (Project No. ADP-250, 265 & 266 Financial Year 2020-2021), (b) Construction of Ozukhana of Adarshpara Baitul Jannat Jame Mosque on PTI Road in Barguna Sadar Upazila of Barguna district (Project No. ADP-274, Financial Year 2020-2021",Lot wise,Package wise,Package wise,1000,Payment through Bank,25-Nov-2022,18-Oct-2022,Md. ZIAUL HAQUE,Assistant Engineer,"Shahid smrity sarak, Barguna.",Barguna,Barguna Sadar,Barguna - 8700,Bangladesh,0448-63488,0448-62595,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
